timeStamp,availableMW,windSpeed,windPower
2018-12-01 0:00,77.4,4.5,3.00625
2018-12-01 0:05,77.4,4.8,5.65763
2018-12-01 0:10,77.4,4.8,5.65763
2018-12-01 0:15,77.4,5,7.4854
2018-12-01 0:20,77.4,5,7.4854
2018-12-01 0:25,77.4,4.9,6.56988
2018-12-01 0:30,77.4,4.9,6.56988
2018-12-01 0:35,77.4,4.5,3.00625
2018-12-01 0:40,77.4,4.5,3.00625
2018-12-01 0:45,77.4,4.3,1.44922
2018-12-01 0:50,77.4,4.3,1.44922
2018-12-01 0:55,77.4,4.4,2.19283
2018-12-01 1:00,77.4,4.4,2.19283
2018-12-01 1:05,77.4,4.5,3.00625
2018-12-01 1:10,77.4,4.5,3.00625
2018-12-01 1:15,77.4,4.7,4.75351
2018-12-01 1:20,77.4,4.7,4.75351
2018-12-01 1:25,77.4,4.6,3.86562
2018-12-01 1:30,77.4,4.6,3.86562
2018-12-01 1:35,77.4,4.6,3.86562
2018-12-01 1:40,77.4,4.6,3.86562
2018-12-01 1:45,77.4,4.6,3.86562
2018-12-01 1:50,77.4,4.6,3.86562
2018-12-01 1:55,77.4,4.5,3.00625
2018-12-01 2:00,77.4,4.5,3.00625
2018-12-01 2:05,77.4,4.6,3.86562
2018-12-01 2:10,77.4,4.6,3.86562
2018-12-01 2:15,77.4,4.6,3.86562
2018-12-01 2:20,77.4,4.6,3.86562
2018-12-01 2:25,77.4,4.7,4.75351
2018-12-01 2:30,77.4,4.7,4.75351
2018-12-01 2:35,77.4,4.6,3.86562
2018-12-01 2:40,77.4,4.6,3.86562
2018-12-01 2:45,77.4,4.6,3.86562
2018-12-01 2:50,77.4,4.6,3.86562
2018-12-01 2:55,77.4,4.8,5.65763
2018-12-01 3:00,77.4,4.8,5.65763
2018-12-01 3:05,77.4,4.9,6.56988
2018-12-01 3:10,77.4,4.9,6.56988
2018-12-01 3:15,77.4,4.7,4.75351
2018-12-01 3:20,77.4,4.7,4.75351
2018-12-01 3:25,77.4,4.8,5.65763
2018-12-01 3:30,77.4,4.8,5.65763
2018-12-01 3:35,77.4,4.7,4.75351
2018-12-01 3:40,77.4,4.7,4.75351
2018-12-01 3:45,77.4,4.5,3.00625
2018-12-01 3:50,77.4,4.5,3.00625
2018-12-01 3:55,77.4,4.2,0.807042
2018-12-01 4:00,77.4,4.2,0.807042
2018-12-01 4:05,77.4,4.4,2.19283
2018-12-01 4:10,77.4,4.4,2.19283
2018-12-01 4:15,77.4,4.5,3.00625
2018-12-01 4:20,77.4,4.5,3.00625
2018-12-01 4:25,77.4,4.6,3.86562
2018-12-01 4:30,77.4,4.6,3.86562
2018-12-01 4:35,77.4,4.4,2.19283
2018-12-01 4:40,77.4,4.4,2.19283
2018-12-01 4:45,77.4,3.8,0
2018-12-01 4:50,77.4,3.8,0
2018-12-01 4:55,77.4,4,0.00235152
2018-12-01 5:00,77.4,4,0.00235152
2018-12-01 5:05,77.4,3.9,0
2018-12-01 5:10,77.4,3.9,0
2018-12-01 5:15,77.4,3.9,0
2018-12-01 5:20,77.4,3.9,0
2018-12-01 5:25,77.4,3.7,0
2018-12-01 5:30,77.4,3.7,0
