Time,windSpeed (m/s),windDic (degree)
2018-01-01 00:00,9.50241,303.854
2018-01-01 01:00,8.60719,301.083
2018-01-01 02:00,8.4327,301.583
2018-01-01 03:00,8.1607,301.586
2018-01-01 04:00,8.10899,302.583
2018-01-01 05:00,8.40698,305.559
2018-01-01 06:00,8.32203,306.5
2018-01-01 07:00,7.92805,306.095
2018-01-01 08:00,7.62503,303.497
2018-01-01 09:00,7.69612,302.617
2018-01-01 10:00,7.67028,303.186
2018-01-01 11:00,7.52624,303.567
2018-01-01 12:00,7.42387,304.068
2018-01-01 13:00,7.10175,302.88
2018-01-01 14:00,6.72799,302.98
2018-01-01 15:00,6.48199,304.025
2018-01-01 16:00,6.30539,306.026
2018-01-01 17:00,6.10304,306.484
2018-01-01 18:00,6.01137,306.272
2018-01-01 19:00,6.04592,306.171
2018-01-01 20:00,6.13051,306.223
2018-01-01 21:00,6.34097,306.049
2018-01-01 22:00,6.5747,309.005
2018-01-01 23:00,6.7305,311.886
2018-01-02 00:00,6.7963,312.811
