year,month,day,hour,minute,availableMW,windSpeed,windPower,WSF_int,windSpeed_5min
2018,12,335,0,0,,4.5,3.00625,2.77218,3.6405871664321037
2018,12,335,0,5,,4.8,5.65763,2.7713583333333336,3.6403890751308827
2018,12,335,0,10,,4.8,5.65763,2.7705366666666666,3.640190983829661
2018,12,335,0,15,,5.0,7.4854,2.769715,3.639992892528441
2018,12,335,0,20,,5.0,7.4854,2.768893333333333,3.639794801227219
2018,12,335,0,25,,4.9,6.56988,2.7680716666666667,3.639596709925998
2018,12,335,0,30,,4.9,6.56988,2.7672499999999998,3.639398618624778
2018,12,335,0,35,,4.5,3.00625,2.7664283333333333,3.639200527323557
2018,12,335,0,40,,4.5,3.00625,2.7656066666666668,3.639002436022336
2018,12,335,0,45,,4.3,1.4492200000000002,2.764785,3.6388043447211142
2018,12,335,0,50,,4.3,1.4492200000000002,2.7639633333333333,3.6386062534198933
2018,12,335,0,55,,4.4,2.19283,2.7631416666666664,3.6384081621186732
2018,12,335,1,0,,4.4,2.19283,2.76232,3.6229737580575927
2018,12,335,1,5,,4.5,3.00625,2.727735833333333,3.5912555849088577
2018,12,335,1,10,,4.5,3.00625,2.6931516666666666,3.5595374117601217
2018,12,335,1,15,,4.7,4.7535099999999995,2.6585674999999998,3.5278192386113867
2018,12,335,1,20,,4.7,4.7535099999999995,2.6239833333333333,3.49610106546265
2018,12,335,1,25,,4.6,3.86562,2.5893991666666665,3.464382892313915
2018,12,335,1,30,,4.6,3.86562,2.5548149999999996,3.43266471916518
2018,12,335,1,35,,4.6,3.86562,2.520230833333333,3.400946546016443
2018,12,335,1,40,,4.6,3.86562,2.4856466666666663,3.369228372867708
2018,12,335,1,45,,4.6,3.86562,2.4510625,3.337510199718973
2018,12,335,1,50,,4.6,3.86562,2.416478333333333,3.305792026570237
2018,12,335,1,55,,4.5,3.00625,2.3818941666666666,3.274073853421502
2018,12,335,2,0,,4.5,3.00625,2.34731,3.2271193675129064
2018,12,335,2,5,,4.6,3.86562,2.347783333333333,3.2281302656524122
2018,12,335,2,10,,4.6,3.86562,2.3482566666666664,3.2291411637919163
2018,12,335,2,15,,4.6,3.86562,2.3487299999999998,3.230152061931424
2018,12,335,2,20,,4.6,3.86562,2.349203333333333,3.2311629600709297
2018,12,335,2,25,,4.7,4.7535099999999995,2.3496766666666664,3.232173858210434
2018,12,335,2,30,,4.7,4.7535099999999995,2.35015,3.2331847563499405
2018,12,335,2,35,,4.6,3.86562,2.3506233333333335,3.2341956544894463
2018,12,335,2,40,,4.6,3.86562,2.351096666666667,3.235206552628952
2018,12,335,2,45,,4.6,3.86562,2.35157,3.236217450768458
2018,12,335,2,50,,4.6,3.86562,2.3520433333333335,3.237228348907964
2018,12,335,2,55,,4.8,5.65763,2.352516666666667,3.238239247047469
2018,12,335,3,0,,4.8,5.65763,2.35299,3.224013832427115
2018,12,335,3,5,,4.9,6.56988,2.45712,3.321796788837598
2018,12,335,3,10,,4.9,6.56988,2.5612500000000002,3.4195797452480816
2018,12,335,3,15,,4.7,4.7535099999999995,2.66538,3.5173627016585645
2018,12,335,3,20,,4.7,4.7535099999999995,2.76951,3.615145658069048
2018,12,335,3,25,,4.8,5.65763,2.87364,3.712928614479532
2018,12,335,3,30,,4.8,5.65763,2.97777,3.8107115708900148
2018,12,335,3,35,,4.7,4.7535099999999995,3.0819,3.9084945273004985
2018,12,335,3,40,,4.7,4.7535099999999995,3.18603,4.006277483710983
2018,12,335,3,45,,4.5,3.00625,3.29016,4.104060440121466
2018,12,335,3,50,,4.5,3.00625,3.39429,4.201843396531948
2018,12,335,3,55,,4.2,0.807042,3.4984200000000003,4.299626352942432
2018,12,335,4,0,,4.2,0.807042,3.60255,4.382172996593055
2018,12,335,4,5,,4.4,2.19283,3.730905,4.502571990997054
2018,12,335,4,10,,4.4,2.19283,3.85926,4.622970985401051
2018,12,335,4,15,,4.5,3.00625,3.987615,4.743369979805049
2018,12,335,4,20,,4.5,3.00625,4.11597,4.863768974209048
2018,12,335,4,25,,4.6,3.86562,4.244325,4.984167968613046
2018,12,335,4,30,,4.6,3.86562,4.37268,5.104566963017044
2018,12,335,4,35,,4.4,2.19283,4.501035,5.224965957421043
2018,12,335,4,40,,4.4,2.19283,4.62939,5.34536495182504
2018,12,335,4,45,,3.8,0.0,4.757745,5.465763946229038
2018,12,335,4,50,,3.8,0.0,4.8861,5.586162940633036
2018,12,335,4,55,,4.0,0.00235152,5.014455,5.706561935037035
2018,12,335,5,0,,4.0,0.00235152,5.14281,5.811724616681174
2018,12,335,5,5,,3.9,0.0,5.086543333333333,5.759764039247839
2018,12,335,5,10,,3.9,0.0,5.0302766666666665,5.707803461814507
2018,12,335,5,15,,3.9,0.0,4.97401,5.6558428843811726
2018,12,335,5,20,,3.9,0.0,4.917743333333333,5.603882306947839
2018,12,335,5,25,,3.7,0.0,4.8614766666666664,5.551921729514506
2018,12,335,5,30,,3.7,0.0,4.80521,5.4999611520811715
2018,12,335,5,35,,,,,9.64560525876045
2018,12,335,5,40,,,,,9.646174261145559
2018,12,335,5,45,,,,,9.646743263530666
2018,12,335,5,50,,,,,9.647312265915776
2018,12,335,5,55,,3.6,0.0,4.523876666666666,5.240158264914504
2018,12,335,6,0,,3.6,0.0,4.46761,5.172961374721311
2018,12,335,6,5,,,,,9.633782960311242
2018,12,335,6,10,,,,,9.634351962696352
2018,12,335,6,15,,,,,9.634920965081461
2018,12,335,6,20,,,,,9.635489967466569
2018,12,335,6,25,,3.8,0.0,4.402749583333333,5.115253831534016
2018,12,335,6,30,,3.8,0.0,4.389777499999999,5.103712322896556
2018,12,335,6,35,,4.3,1.4492200000000002,4.376805416666667,5.092170814259098
2018,12,335,6,40,,4.3,1.4492200000000002,4.363833333333333,5.080629305621639
2018,12,335,6,45,,4.3,1.4492200000000002,4.3508612499999995,5.06908779698418
2018,12,335,6,50,,4.3,1.4492200000000002,4.337889166666667,5.057546288346721
2018,12,335,6,55,,4.6,3.86562,4.324917083333333,5.046004779709262
2018,12,335,7,0,,4.6,3.86562,4.311945,5.019226958311943
2018,12,335,7,5,,4.8,5.65763,4.285324999999999,4.994943992425127
2018,12,335,7,10,,4.8,5.65763,4.258705,4.970661026538313
2018,12,335,7,15,,4.5,3.00625,4.232085,4.946378060651497
2018,12,335,7,20,,4.5,3.00625,4.205465,4.922095094764683
2018,12,335,7,25,,4.6,3.86562,4.178845,4.897812128877867
2018,12,335,7,30,,4.6,3.86562,4.152225,4.873529162991051
2018,12,335,7,35,,4.6,3.86562,4.125605,4.849246197104236
2018,12,335,7,40,,4.6,3.86562,4.098985,4.824963231217421
2018,12,335,7,45,,4.6,3.86562,4.072365,4.800680265330605
2018,12,335,7,50,,4.6,3.86562,4.045745,4.776397299443791
2018,12,335,7,55,,4.2,0.807042,4.019125,4.752114333556975
2018,12,335,8,0,,4.2,0.807042,3.992505,4.712595054910299
2018,12,335,8,5,,4.4,2.19283,3.9752254166666665,4.697032139310732
2018,12,335,8,10,,4.4,2.19283,3.9579458333333335,4.681469223711166
2018,12,335,8,15,,4.4,2.19283,3.94066625,4.665906308111598
2018,12,335,8,20,,4.4,2.19283,3.9233866666666666,4.650343392512031
2018,12,335,8,25,,4.2,0.807042,3.906107083333333,4.634780476912465
2018,12,335,8,30,,4.2,0.807042,3.8888274999999997,4.619217561312897
2018,12,335,8,35,,4.1,0.307329,3.8715479166666666,4.6036546457133305
2018,12,335,8,40,,4.1,0.307329,3.854268333333333,4.5880917301137645
2018,12,335,8,45,,4.0,0.00235152,3.8369887499999997,4.572528814514197
2018,12,335,8,50,,4.0,0.00235152,3.8197091666666667,4.55696589891463
2018,12,335,8,55,,3.8,0.0,3.8024295833333333,4.541402983315064
2018,12,335,9,0,,3.8,0.0,3.78515,4.510603754955636
2018,12,335,9,5,,3.9,0.0,3.7731512499999997,4.49997093336243
2018,12,335,9,10,,3.9,0.0,3.7611524999999997,4.489338111769223
2018,12,335,9,15,,3.9,0.0,3.7491537499999996,4.478705290176017
2018,12,335,9,20,,3.9,0.0,3.737155,4.46807246858281
2018,12,335,9,25,,3.9,0.0,3.72515625,4.457439646989604
2018,12,335,9,30,,3.9,0.0,3.7131575,4.446806825396397
2018,12,335,9,35,,4.0,0.00235152,3.70115875,4.436174003803191
2018,12,335,9,40,,4.0,0.00235152,3.6891599999999998,4.425541182209985
2018,12,335,9,45,,4.1,0.307329,3.67716125,4.414908360616779
2018,12,335,9,50,,4.1,0.307329,3.6651625,4.4042755390235735
