timeStamp,year,month,day,hour,minute,windDic (degree),WSF_int,windSpeed_5min
2019-01-01 00:00:00,2019.0,1.0,1.0,0.0,0.0,,,9.688824861167495
2019-01-01 00:05:00,2019.0,1.0,1.0,0.0,5.0,,,9.689393863552603
2019-01-01 00:10:00,2019.0,1.0,1.0,0.0,10.0,,,9.689962865937712
2019-01-01 00:15:00,2019.0,1.0,1.0,0.0,15.0,,,9.690531868322822
2019-01-01 00:20:00,2019.0,1.0,1.0,0.0,20.0,,,9.69110087070793
2019-01-01 00:25:00,2019.0,1.0,1.0,0.0,25.0,,,9.691669873093039
2019-01-01 00:30:00,2019.0,1.0,1.0,0.0,30.0,,,9.692238875478148
2019-01-01 00:35:00,2019.0,1.0,1.0,0.0,35.0,,,9.692807877863256
2019-01-01 00:40:00,2019.0,1.0,1.0,0.0,40.0,,,9.693376880248366
2019-01-01 00:45:00,2019.0,1.0,1.0,0.0,45.0,,,9.693945882633475
2019-01-01 00:50:00,2019.0,1.0,1.0,0.0,50.0,,,9.694514885018583
2019-01-01 00:55:00,2019.0,1.0,1.0,0.0,55.0,,,9.695083887403692
2019-01-01 01:00:00,2019.0,1.0,1.0,1.0,0.0,195.937,3.6673400000000003,4.645200880235585
2019-01-01 01:05:00,2019.0,1.0,1.0,1.0,5.0,,3.692284166666667,4.6686120724329045
2019-01-01 01:10:00,2019.0,1.0,1.0,1.0,10.0,,3.7172283333333334,4.6920232646302225
2019-01-01 01:15:00,2019.0,1.0,1.0,1.0,15.0,,3.7421725,4.715434456827543
2019-01-01 01:20:00,2019.0,1.0,1.0,1.0,20.0,,3.767116666666667,4.73884564902486
2019-01-01 01:25:00,2019.0,1.0,1.0,1.0,25.0,,3.792060833333333,4.762256841222181
2019-01-01 01:30:00,2019.0,1.0,1.0,1.0,30.0,,3.817005,4.7856680334194985
2019-01-01 01:35:00,2019.0,1.0,1.0,1.0,35.0,,3.8419491666666667,4.809079225616818
2019-01-01 01:40:00,2019.0,1.0,1.0,1.0,40.0,,3.866893333333333,4.832490417814137
2019-01-01 01:45:00,2019.0,1.0,1.0,1.0,45.0,,3.8918375,4.855901610011456
2019-01-01 01:50:00,2019.0,1.0,1.0,1.0,50.0,,3.9167816666666666,4.8793128022087755
2019-01-01 01:55:00,2019.0,1.0,1.0,1.0,55.0,,3.941725833333333,4.902723994406093
2019-01-01 02:00:00,2019.0,1.0,1.0,2.0,0.0,177.362,3.9666699999999997,4.910898873843553
2019-01-01 02:05:00,2019.0,1.0,1.0,2.0,5.0,,4.065593333333333,5.002055210215494
2019-01-01 02:10:00,2019.0,1.0,1.0,2.0,10.0,,4.164516666666667,5.093211546587435
2019-01-01 02:15:00,2019.0,1.0,1.0,2.0,15.0,,4.263439999999999,5.184367882959375
2019-01-01 02:20:00,2019.0,1.0,1.0,2.0,20.0,,4.362363333333333,5.2755242193313165
2019-01-01 02:25:00,2019.0,1.0,1.0,2.0,25.0,,4.461286666666666,5.366680555703257
2019-01-01 02:30:00,2019.0,1.0,1.0,2.0,30.0,,4.56021,5.457836892075198
2019-01-01 02:35:00,2019.0,1.0,1.0,2.0,35.0,,4.659133333333333,5.54899322844714
2019-01-01 02:40:00,2019.0,1.0,1.0,2.0,40.0,,4.758056666666667,5.6401495648190805
2019-01-01 02:45:00,2019.0,1.0,1.0,2.0,45.0,,4.85698,5.731305901191021
2019-01-01 02:50:00,2019.0,1.0,1.0,2.0,50.0,,4.955903333333333,5.822462237562961
2019-01-01 02:55:00,2019.0,1.0,1.0,2.0,55.0,,5.054826666666666,5.913618573934902
2019-01-01 03:00:00,2019.0,1.0,1.0,3.0,0.0,155.847,5.15375,5.989538597546984
2019-01-01 03:05:00,2019.0,1.0,1.0,3.0,5.0,,5.358371666666667,6.177486357144165
2019-01-01 03:10:00,2019.0,1.0,1.0,3.0,10.0,,5.562993333333333,6.365434116741346
2019-01-01 03:15:00,2019.0,1.0,1.0,3.0,15.0,,5.767615,6.553381876338527
2019-01-01 03:20:00,2019.0,1.0,1.0,3.0,20.0,,5.972236666666666,6.741329635935707
2019-01-01 03:25:00,2019.0,1.0,1.0,3.0,25.0,,6.176858333333334,6.929277395532889
2019-01-01 03:30:00,2019.0,1.0,1.0,3.0,30.0,,6.38148,7.117225155130069
2019-01-01 03:35:00,2019.0,1.0,1.0,3.0,35.0,,6.586101666666667,7.305172914727251
2019-01-01 03:40:00,2019.0,1.0,1.0,3.0,40.0,,6.790723333333334,7.493120674324432
2019-01-01 03:45:00,2019.0,1.0,1.0,3.0,45.0,,6.995345,7.681068433921612
2019-01-01 03:50:00,2019.0,1.0,1.0,3.0,50.0,,7.1999666666666675,7.869016193518794
2019-01-01 03:55:00,2019.0,1.0,1.0,3.0,55.0,,7.404588333333335,8.056963953115975
2019-01-01 04:00:00,2019.0,1.0,1.0,4.0,0.0,152.43,7.609210000000001,8.229675399953296
2019-01-01 04:05:00,2019.0,1.0,1.0,4.0,5.0,,7.633181666666667,8.252196042071743
2019-01-01 04:10:00,2019.0,1.0,1.0,4.0,10.0,,7.657153333333334,8.274716684190192
2019-01-01 04:15:00,2019.0,1.0,1.0,4.0,15.0,,7.681125000000001,8.29723732630864
2019-01-01 04:20:00,2019.0,1.0,1.0,4.0,20.0,,7.705096666666667,8.319757968427087
2019-01-01 04:25:00,2019.0,1.0,1.0,4.0,25.0,,7.729068333333334,8.342278610545534
2019-01-01 04:30:00,2019.0,1.0,1.0,4.0,30.0,,7.75304,8.364799252663982
2019-01-01 04:35:00,2019.0,1.0,1.0,4.0,35.0,,7.777011666666667,8.38731989478243
2019-01-01 04:40:00,2019.0,1.0,1.0,4.0,40.0,,7.800983333333334,8.409840536900878
2019-01-01 04:45:00,2019.0,1.0,1.0,4.0,45.0,,7.824955,8.432361179019326
2019-01-01 04:50:00,2019.0,1.0,1.0,4.0,50.0,,7.848926666666666,8.454881821137773
2019-01-01 04:55:00,2019.0,1.0,1.0,4.0,55.0,,7.8728983333333336,8.477402463256222
2019-01-01 05:00:00,2019.0,1.0,1.0,5.0,0.0,150.707,7.89687,8.48468679261481
2019-01-01 05:05:00,2019.0,1.0,1.0,5.0,5.0,,7.944869583333333,8.5292105844326
2019-01-01 05:10:00,2019.0,1.0,1.0,5.0,10.0,,7.992869166666666,8.573734376250385
2019-01-01 05:15:00,2019.0,1.0,1.0,5.0,15.0,,8.04086875,8.618258168068175
2019-01-01 05:20:00,2019.0,1.0,1.0,5.0,20.0,,8.088868333333332,8.662781959885963
2019-01-01 05:25:00,2019.0,1.0,1.0,5.0,25.0,,8.136867916666667,8.707305751703752
2019-01-01 05:30:00,2019.0,1.0,1.0,5.0,30.0,,8.1848675,8.75182954352154
2019-01-01 05:35:00,2019.0,1.0,1.0,5.0,35.0,,8.232867083333332,8.796353335339328
2019-01-01 05:40:00,2019.0,1.0,1.0,5.0,40.0,,8.280866666666666,8.840877127157118
2019-01-01 05:45:00,2019.0,1.0,1.0,5.0,45.0,,8.328866249999999,8.885400918974906
2019-01-01 05:50:00,2019.0,1.0,1.0,5.0,50.0,,8.376865833333332,8.929924710792694
2019-01-01 05:55:00,2019.0,1.0,1.0,5.0,55.0,,8.424865416666666,8.974448502610482
2019-01-01 06:00:00,2019.0,1.0,1.0,6.0,0.0,148.7105,8.472864999999999,9.003735981668411
2019-01-01 06:05:00,2019.0,1.0,1.0,6.0,5.0,,8.551276249999999,9.07610873199376
2019-01-01 06:10:00,2019.0,1.0,1.0,6.0,10.0,,8.6296875,9.148481482319108
2019-01-01 06:15:00,2019.0,1.0,1.0,6.0,15.0,,8.70809875,9.220854232644458
2019-01-01 06:20:00,2019.0,1.0,1.0,6.0,20.0,,8.78651,9.293226982969806
2019-01-01 06:25:00,2019.0,1.0,1.0,6.0,25.0,,8.86492125,9.365599733295154
2019-01-01 06:30:00,2019.0,1.0,1.0,6.0,30.0,,8.9433325,9.437972483620504
2019-01-01 06:35:00,2019.0,1.0,1.0,6.0,35.0,,9.021743749999999,9.51034523394585
2019-01-01 06:40:00,2019.0,1.0,1.0,6.0,40.0,,9.100154999999999,9.5827179842712
2019-01-01 06:45:00,2019.0,1.0,1.0,6.0,45.0,,9.17856625,9.655090734596548
2019-01-01 06:50:00,2019.0,1.0,1.0,6.0,50.0,,9.2569775,9.727463484921897
2019-01-01 06:55:00,2019.0,1.0,1.0,6.0,55.0,,9.33538875,9.799836235247247
2019-01-01 07:00:00,2019.0,1.0,1.0,7.0,0.0,147.2555,9.4138,9.856972672812734
2019-01-01 07:05:00,2019.0,1.0,1.0,7.0,5.0,,9.48422375,9.922031007965865
2019-01-01 07:10:00,2019.0,1.0,1.0,7.0,10.0,,9.5546475,9.987089343118994
2019-01-01 07:15:00,2019.0,1.0,1.0,7.0,15.0,,9.625071250000001,10.052147678272124
2019-01-01 07:20:00,2019.0,1.0,1.0,7.0,20.0,,9.695495000000001,10.117206013425253
2019-01-01 07:25:00,2019.0,1.0,1.0,7.0,25.0,,9.76591875,10.182264348578382
2019-01-01 07:30:00,2019.0,1.0,1.0,7.0,30.0,,9.8363425,10.247322683731513
2019-01-01 07:35:00,2019.0,1.0,1.0,7.0,35.0,,9.90676625,10.312381018884642
2019-01-01 07:40:00,2019.0,1.0,1.0,7.0,40.0,,9.97719,10.37743935403777
2019-01-01 07:45:00,2019.0,1.0,1.0,7.0,45.0,,10.04761375,10.442497689190901
2019-01-01 07:50:00,2019.0,1.0,1.0,7.0,50.0,,10.118037500000002,10.507556024344032
2019-01-01 07:55:00,2019.0,1.0,1.0,7.0,55.0,,10.188461250000001,10.57261435949716
2019-01-01 08:00:00,2019.0,1.0,1.0,8.0,0.0,150.895,10.258885000000001,10.62243638189043
2019-01-01 08:05:00,2019.0,1.0,1.0,8.0,5.0,,10.28437375,10.646346266869704
2019-01-01 08:10:00,2019.0,1.0,1.0,8.0,10.0,,10.309862500000001,10.67025615184898
2019-01-01 08:15:00,2019.0,1.0,1.0,8.0,15.0,,10.33535125,10.694166036828253
2019-01-01 08:20:00,2019.0,1.0,1.0,8.0,20.0,,10.360840000000001,10.718075921807529
2019-01-01 08:25:00,2019.0,1.0,1.0,8.0,25.0,,10.38632875,10.741985806786802
2019-01-01 08:30:00,2019.0,1.0,1.0,8.0,30.0,,10.411817500000002,10.765895691766078
2019-01-01 08:35:00,2019.0,1.0,1.0,8.0,35.0,,10.43730625,10.789805576745351
2019-01-01 08:40:00,2019.0,1.0,1.0,8.0,40.0,,10.462795,10.813715461724627
2019-01-01 08:45:00,2019.0,1.0,1.0,8.0,45.0,,10.48828375,10.837625346703902
